"","experiment","fault_model","dist","postprocess","dest","faults","router","num_samples","resource","resource_stdev","resource_min","resource_max","entries","entries_stdev","entries_min","entries_max","useX","useX_stdev","useX_min","useX_max","useY","useY_stdev","useY_min","useY_max","useD","useD_stdev","useD_min","useD_max","disconne","disconne_stdev","disconne_min","disconne_max","exectime","exectime_stdev","exectime_min","exectime_max","post_exectime","post_exectime_stdev","post_exectime_min","post_exectime_max","exectime_ci","post_exectime_ci","disconne_ci","resource_ci","entries_ci"
"48","baseline","spinn_link","cent3","DIJKSTRA",16,2457,"opt",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","baseline","spinn_link","cent3","DIJKSTRA",16,2457,"smart",10000,148.2293,646.680279042125,0,346,26.5235,57.8251463408438,0,60,53.8216,384.102589078751,0,218,54.4618,391.701578585024,0,223,51.8754,383.140444503057,0,224,0,0,0,0,20.3024,83.9092465435127,0,55,12.8218,101.525581510868,0,97,1.38018428511862,1.66994720976509,0,10.6369440246043,0.951139016877365
"50","baseline","spinn_link","cent3","DIJKSTRA",16,2457,"graph_search",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","baseline","spinn_link","cent3","DIJKSTRA",16,4915,"dor",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","baseline","spinn_link","cent3","DIJKSTRA",16,4915,"lf",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","baseline","spinn_link","cent3","DIJKSTRA",16,4915,"opt",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","baseline","spinn_link","cent3","DIJKSTRA",16,4915,"smart",10000,154.4729,683.523615167026,0,373,32.2503,88.5808814687458,0,74,58.6978,389.657454774062,0,228,58.8173,399.145799075977,0,251,56.3279,394.121346384588,0,238,0,0,0,0,20.2974,83.6306763457046,0,57,24.4161,173.758102582297,0,174,1.37560221311637,2.85806645244697,0,11.2429629751446,1.45702584162425
"55","baseline","spinn_link","cent3","DIJKSTRA",16,4915,"graph_search",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","baseline","spinn_link","cent3","DIJKSTRA",16,9830,"dor",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","baseline","spinn_link","cent3","DIJKSTRA",16,9830,"lf",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","baseline","spinn_link","cent3","DIJKSTRA",16,9830,"opt",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","baseline","spinn_link","cent3","DIJKSTRA",16,9830,"smart",10000,181.5328,847.69464024907,0,501,45.522,156.211481793113,0,117,74.2301,441.329584947576,0,261,70.7371,440.497721363005,0,255,69.9869,439.644790752717,0,284,0,0,0,0,20.5684,86.3686155318586,0,60,73.6287,551.460284813875,0,520,1.42063730512355,9.07071449595793,0,13.9433360356101,2.56945022398865
"60","baseline","spinn_link","cent3","DIJKSTRA",16,9830,"graph_search",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","baseline","spinn_link","uniform","DIJKSTRA",16,-1966,"dor",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","baseline","spinn_link","uniform","DIJKSTRA",16,-1966,"lf",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","baseline","spinn_link","uniform","DIJKSTRA",16,-1966,"opt",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","baseline","spinn_link","uniform","DIJKSTRA",16,-1966,"smart",10000,639.8852,885.33893836598,0,959,33.0858,14.0987572016118,0,38,213.7238,539.98982968293,0,422,214.306,546.560461360864,0,444,214.1364,539.130095610512,0,466,0,0,0,0,122.8609,236.592993829065,0,278,0.028,1.64821723722936,0,1,3.89160844011045,0.0271107610066065,0,14.5625296385265,0.231903919185793
"65","baseline","spinn_link","uniform","DIJKSTRA",16,-1966,"graph_search",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","baseline","spinn_link","uniform","DIJKSTRA",16,0,"dor",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","baseline","spinn_link","uniform","DIJKSTRA",16,0,"lf",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","baseline","spinn_link","uniform","DIJKSTRA",16,0,"opt",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","baseline","spinn_link","uniform","DIJKSTRA",16,0,"smart",10000,639.8852,885.33893836598,0,959,33.0858,14.0987572016118,0,38,213.7238,539.98982968293,0,422,214.306,546.560461360864,0,444,214.1364,539.130095610512,0,466,0,0,0,0,115.2627,132.580022816411,0,222,0.0235,1.51376302712809,0,1,2.18074731390882,0.0248991860551668,0,14.5625296385265,0.231903919185793
