added_dead_links,centroids,hss_links,num_chips,num_cores,saturation_point
6,None,True,60.0,1009.0,195610.0
7,3,False,59.0,993.0,155690.0
6,3,False,62.0,1041.0,255490.0
6,3,True,63.0,1062.0,185630.0
7,3,True,63.0,1058.0,140720.0
9,None,False,64.0,1075.0,255490.0
8,None,True,64.0,1076.0,145710.0
9,None,True,64.0,1075.0,110780.0
8,3,False,64.0,1076.0,280440.0
8,3,True,64.0,1076.0,145710.0
9,3,False,64.0,1074.0,275450.0
10,None,True,60.0,1006.0,105790.0
10,None,False,60.0,1008.0,250500.0
0,None,False,62.0,1041.0,240520.0
0,None,True,63.0,1058.0,300400.0
9,3,True,59.0,991.0,130740.0
10,3,True,59.0,993.0,135730.0
10,3,False,60.0,1009.0,215570.0
0,3,False,63.0,1062.0,245510.0
1,None,False,63.0,1060.0,315370.0
1,None,True,64.0,1075.0,275450.0
0,3,True,64.0,1076.0,300400.0
1,3,True,64.0,1076.0,270460.0
1,3,False,64.0,1076.0,320360.0
2,None,False,64.0,1075.0,320360.0
3,None,True,59.0,991.0,265470.0
2,None,True,59.0,991.0,235530.0
3,None,False,62.0,1041.0,230540.0
4,None,False,63.0,1062.0,235530.0
3,3,False,59.0,993.0,210580.0
2,3,False,60.0,1006.0,245510.0
3,3,True,60.0,1009.0,265470.0
2,3,True,63.0,1058.0,200600.0
4,None,True,63.0,1060.0,230540.0
5,None,False,64.0,1076.0,300400.0
5,None,True,64.0,1076.0,185630.0
4,3,False,64.0,1075.0,290420.0
4,3,True,64.0,1076.0,220560.0
5,3,False,64.0,1074.0,285430.0
6,None,False,60.0,1008.0,170660.0
7,None,False,60.0,1006.0,280440.0
7,None,True,60.0,1009.0,145710.0
6,None,True,62.0,1041.0,190620.0
5,3,True,59.0,991.0,185630.0
6,3,True,59.0,993.0,200600.0
7,3,False,63.0,1058.0,315370.0
6,3,False,63.0,1062.0,230540.0
8,None,False,64.0,1076.0,260480.0
8,None,True,64.0,1076.0,125750.0
8,3,False,64.0,1076.0,240520.0
8,3,True,64.0,1075.0,110780.0
7,3,True,64.0,1075.0,170660.0
9,None,False,64.0,1074.0,175650.0
10,None,True,59.0,991.0,115770.0
9,None,True,60.0,1008.0,125750.0
0,None,False,63.0,1062.0,245510.0
10,None,False,62.0,1041.0,240520.0
10,3,False,59.0,993.0,180640.0
9,3,True,60.0,1009.0,125750.0
1,None,False,63.0,1060.0,285430.0
1,None,True,64.0,1075.0,285430.0
0,None,True,64.0,1075.0,325350.0
10,3,True,63.0,1058.0,115770.0
1,3,False,64.0,1075.0,300400.0
0,3,True,64.0,1076.0,295410.0
0,3,False,64.0,1076.0,315370.0
1,3,True,60.0,1006.0,310380.0
4,None,False,63.0,1060.0,245510.0
5,None,False,64.0,1075.0,295410.0
4,None,True,64.0,1075.0,225550.0
3,None,False,59.0,993.0,210580.0
2,None,True,59.0,991.0,220560.0
2,None,False,60.0,1008.0,255490.0
5,None,True,60.0,1006.0,165670.0
3,3,True,64.0,1075.0,255490.0
4,3,False,64.0,1076.0,290420.0
3,None,True,60.0,1009.0,250500.0
4,3,True,64.0,1076.0,225550.0
2,3,False,62.0,1041.0,185630.0
3,3,False,63.0,1058.0,280440.0
2,3,True,63.0,1062.0,230540.0
6,None,False,64.0,1075.0,270460.0
8,None,False,64.0,1076.0,245510.0
5,3,False,64.0,1074.0,310380.0
5,3,True,64.0,1075.0,185630.0
7,3,False,64.0,1076.0,260480.0
7,3,True,64.0,1076.0,135730.0
6,None,True,59.0,991.0,190620.0
7,None,True,59.0,993.0,180640.0
7,None,False,60.0,1009.0,225550.0
8,None,True,63.0,1058.0,110780.0
6,3,False,60.0,1008.0,235530.0
6,3,True,60.0,1006.0,210580.0
8,3,False,62.0,1041.0,230540.0
8,3,True,63.0,1062.0,145710.0
10,None,False,63.0,1060.0,240520.0
9,None,False,64.0,1075.0,260480.0
9,None,True,64.0,1075.0,115770.0
10,None,True,64.0,1076.0,100800.0
9,3,False,64.0,1076.0,300400.0
9,3,True,64.0,1075.0,105790.0
0,None,False,60.0,1009.0,210580.0
1,None,False,62.0,1041.0,225550.0
0,None,True,63.0,1058.0,300400.0
1,None,True,63.0,1062.0,245510.0
10,3,False,59.0,991.0,235530.0
10,3,True,59.0,993.0,140720.0
0,3,True,60.0,1006.0,290420.0
0,3,False,60.0,1008.0,245510.0
2,None,False,64.0,1075.0,270460.0
2,None,True,64.0,1075.0,230540.0
1,3,False,64.0,1075.0,300400.0
2,3,True,64.0,1075.0,260480.0
1,3,True,64.0,1076.0,235530.0
2,3,False,64.0,1076.0,295410.0
4,None,False,59.0,991.0,235530.0
4,None,True,60.0,1008.0,225550.0
3,None,False,60.0,1009.0,225550.0
3,None,True,63.0,1058.0,230540.0
4,3,False,59.0,993.0,210580.0
4,3,True,60.0,1006.0,230540.0
3,3,False,62.0,1041.0,230540.0
3,3,True,63.0,1062.0,270460.0
5,None,True,64.0,1075.0,205590.0
6,None,False,64.0,1076.0,270460.0
5,None,False,64.0,1075.0,260480.0
6,None,True,64.0,1075.0,185630.0
5,3,False,64.0,1075.0,250500.0
5,3,True,64.0,1076.0,180640.0
7,None,False,60.0,1009.0,175650.0
8,None,False,62.0,1041.0,190620.0
7,None,True,63.0,1058.0,195610.0
8,None,True,63.0,1062.0,125750.0
7,3,True,59.0,993.0,180640.0
6,3,True,60.0,1008.0,185630.0
7,3,False,60.0,1006.0,305390.0
8,3,False,59.0,991.0,190620.0
9,None,False,64.0,1074.0,235530.0
9,None,True,64.0,1075.0,95810.0
10,None,False,64.0,1076.0,215570.0
9,3,False,64.0,1075.0,285430.0
8,3,True,64.0,1076.0,115770.0
9,3,True,64.0,1075.0,110780.0
0,None,True,59.0,993.0,195610.0
1,None,False,59.0,991.0,235530.0
10,None,True,60.0,1009.0,90820.0
0,None,False,63.0,1062.0,215570.0
0,3,True,60.0,1006.0,310380.0
0,3,False,60.0,1008.0,255490.0
10,3,False,62.0,1041.0,235530.0
10,3,True,63.0,1058.0,120760.0
2,None,True,64.0,1075.0,290420.0
1,None,True,64.0,1075.0,300400.0
2,None,False,64.0,1076.0,285430.0
1,3,True,64.0,1075.0,300400.0
2,3,False,64.0,1075.0,305390.0
1,3,False,64.0,1076.0,260480.0
4,None,False,60.0,1008.0,235530.0
3,None,True,60.0,1009.0,215570.0
4,None,True,62.0,1041.0,215570.0
2,3,True,59.0,991.0,190620.0
3,3,True,60.0,1006.0,260480.0
4,3,False,63.0,1058.0,230540.0
3,3,False,63.0,1062.0,190620.0
4,3,True,59.0,993.0,215570.0
5,None,True,64.0,1075.0,190620.0
5,None,False,64.0,1076.0,255490.0
6,None,False,64.0,1076.0,255490.0
6,None,True,64.0,1075.0,165670.0
5,3,True,63.0,1060.0,220560.0
5,3,False,64.0,1076.0,315370.0
8,None,True,59.0,993.0,115770.0
7,None,True,59.0,991.0,200600.0
7,None,False,62.0,1041.0,225550.0
8,None,False,63.0,1062.0,195610.0
7,3,False,60.0,1006.0,230540.0
6,3,False,60.0,1008.0,250500.0
6,3,True,60.0,1009.0,185630.0
7,3,True,63.0,1058.0,130740.0
9,None,False,64.0,1076.0,235530.0
9,None,True,64.0,1075.0,120760.0
8,3,True,63.0,1059.0,125750.0
9,3,False,64.0,1075.0,255490.0
9,3,True,64.0,1076.0,120760.0
8,3,False,64.0,1074.0,195610.0
10,None,True,63.0,1061.0,105790.0
10,None,False,59.0,993.0,190620.0
0,None,False,60.0,1008.0,195610.0
0,None,True,60.0,1009.0,205590.0
10,3,True,60.0,1006.0,100800.0
0,3,False,63.0,1058.0,310380.0
10,3,False,63.0,1062.0,180640.0
2,None,False,64.0,1076.0,280440.0
1,None,True,64.0,1075.0,290420.0
1,None,False,64.0,1076.0,285430.0
1,3,False,63.0,1060.0,335330.0
0,3,True,64.0,1076.0,285430.0
1,3,True,64.0,1075.0,310380.0
2,None,True,58.0,976.0,200600.0
3,None,True,60.0,1006.0,245510.0
3,None,False,60.0,1009.0,210580.0
